iso_o,iso_d,comlang_off,distcap
LKA,FRA,0,8526.015
LKA,GBR,0,8725.037
LKA,HKG,0,4053.215
LKA,IND,0,2431.215
LKA,ITA,0,7635.494
LKA,JPN,0,6861.33
LKA,KOR,0,5840.513
LKA,LKA,0,96.3427
LKA,MEX,0,17101.06
LKA,MYS,0,2456.486
LKA,NGA,0,8002.278
LKA,NLD,0,8388.237
LKA,PAK,0,3057.006
LKA,RUS,0,6576.936
LKA,SAU,0,4038.69
LKA,SGP,0,2734.159
LKA,TUR,0,5942.752
LKA,USA,0,14406.16
LKA,VNM,0,3208.334
LKA,ZAF,0,6658.517
MEX,ARE,0,14372.35
MEX,AUS,0,13185.67
MEX,BEL,0,9259.353
MEX,BGD,0,15124.74
MEX,BRA,0,6841.765
MEX,CAN,0,3609.244
MEX,CHN,0,12467.17
MEX,DEU,0,9739.229
MEX,EGY,0,12384.58
MEX,ESP,1,9073.951
MEX,FRA,0,9206.813
MEX,GBR,0,8938.404
MEX,HKG,0,14147.54
MEX,IND,0,14673.66
MEX,ITA,0,10254.87
MEX,JPN,0,11312.39
MEX,KOR,0,12066.01
MEX,LKA,0,17101.06
MEX,MEX,0,527.5446
MEX,MYS,0,16641.12
MEX,NGA,0,11358.63
MEX,NLD,0,9229.362
MEX,PAK,0,14069.46
MEX,RUS,0,10736.3
MEX,SAU,0,13895.68
MEX,SGP,0,16623.59
MEX,TUR,0,11765.04
MEX,USA,0,3037.916
MEX,VNM,0,14772
MEX,ZAF,0,14615.26
MYS,ARE,0,5594.997
MYS,AUS,0,6532.159
MYS,BEL,0,10261.22
MYS,BGD,0,2593.442
MYS,BRA,0,16420.49
MYS,CAN,0,14623.82
MYS,CHN,1,4355.047
MYS,DEU,0,9623.965
MYS,EGY,0,7962.7
MYS,ESP,0,11084.66
MYS,FRA,0,10436.4
MYS,GBR,0,10559.89
MYS,HKG,1,2518.368
MYS,IND,0,3842.43
MYS,ITA,0,9717.922
MYS,JPN,0,5329.095
MYS,KOR,0,4614.067
MYS,LKA,0,2456.486
MYS,MEX,0,16641.12
MYS,MYS,0,215.9889
MYS,NGA,0,10458.14
MYS,NLD,0,10201.5
MYS,PAK,0,4509.983
MYS,RUS,0,8130.454
MYS,SAU,0,6347.465
MYS,SGP,1,315.5433
MYS,TUR,0,7997.892
MYS,USA,0,15357.34
MYS,VNM,0,2040.94
MYS,ZAF,0,8523.575
NGA,ARE,0,5282.773
NGA,AUS,1,15205.16
NGA,BEL,0,4643.222
NGA,BGD,0,8919.738
NGA,BRA,0,6674.87
NGA,CAN,1,8736.006
NGA,CHN,0,10960.48
NGA,DEU,0,4858.187
NGA,EGY,0,3414.671
NGA,ESP,0,3639.542
NGA,FRA,0,4440.135
NGA,GBR,1,4757.643
NGA,HKG,1,11342.32
NGA,IND,1,7585.293
NGA,ITA,0,3677.193
NGA,JPN,0,12990.9
NGA,KOR,0,11909.62
NGA,LKA,0,8002.278
NGA,MEX,0,11358.63
NGA,MYS,0,10458.14
NGA,NGA,0,361.5058
NGA,NLD,0,4809.195
NGA,PAK,1,7231.038
NGA,RUS,0,5829.689
NGA,SAU,0,4532.161
NGA,SGP,1,10727.72
NGA,TUR,0,4264.208
NGA,USA,1,8874.532
NGA,VNM,0,10541.2
NGA,ZAF,1,4504.671
NLD,ARE,0,5170.816
NLD,AUS,0,16644.24
NLD,BEL,1,173.0333
NLD,BGD,0,7651.716
NLD,BRA,0,9121.226
NLD,CAN,0,5638.61
NLD,CHN,0,7831.141
NLD,DEU,0,577.8569
NLD,EGY,0,3284.383
NLD,ESP,0,1481.366
NLD,FRA,0,427.9169
NLD,GBR,0,360.315
NLD,HKG,0,9290.671
NLD,IND,0,6363.421
NLD,ITA,0,1297.695
NLD,JPN,0,9303.377
NLD,KOR,0,8573.183
NLD,LKA,0,8388.237
NLD,MEX,0,9229.362
NLD,MYS,0,10201.5
NLD,NGA,0,4809.195
NLD,NLD,0,76.95715
NLD,PAK,0,5691.659
NLD,RUS,0,2155.229
NLD,SAU,0,4669.672
NLD,SGP,0,10510.19
NLD,TUR,0,2536.014
NLD,USA,0,6196.851
NLD,VNM,0,8892.063
NLD,ZAF,0,8981.913
PAK,ARE,0,2083.979
PAK,AUS,1,11015.89
PAK,BEL,0,5752.112
PAK,BGD,0,2010.818
PAK,BRA,0,13836.4
PAK,CAN,1,10688.13
PAK,CHN,0,3882.877
PAK,DEU,0,5114.034
PAK,EGY,0,3952.961
PAK,ESP,0,6651.62
PAK,FRA,0,5932.586
PAK,GBR,1,6049.916
PAK,HKG,1,4196.246
PAK,IND,1,683.3699
PAK,ITA,0,5300.738
PAK,JPN,0,5980.15
PAK,KOR,0,4828.073
PAK,LKA,0,3057.006
PAK,MEX,0,14069.46
PAK,MYS,0,4509.983
PAK,NGA,1,7231.038
PAK,NLD,0,5691.659
PAK,PAK,0,353.4131
PAK,RUS,0,3658.638
PAK,SAU,0,2742.321
PAK,SGP,1,4819.488
PAK,TUR,0,3625.628
PAK,USA,1,11392.76
PAK,VNM,0,3509.467
PAK,ZAF,1,8138.689
RUS,ARE,0,3739.195
RUS,AUS,0,14491.46
RUS,BEL,0,2261.25
RUS,BGD,0,5548.405
RUS,BRA,0,11192.67
RUS,CAN,0,7169.651
RUS,CHN,0,5795.045
RUS,DEU,0,1614.179
RUS,EGY,0,2905.404
RUS,ESP,0,3449.3
RUS,FRA,0,2494.316
RUS,GBR,0,2510.88
RUS,HKG,0,7145.355
RUS,IND,0,4341.881
RUS,ITA,0,2383.171
RUS,JPN,0,7486.303
RUS,KOR,0,6614.064
RUS,LKA,0,6576.936
RUS,MEX,0,10736.3
RUS,MYS,0,8130.454
RUS,NGA,0,5829.689
RUS,NLD,0,2155.229
RUS,PAK,0,3658.638
RUS,RUS,0,1554.244
RUS,SAU,0,3539.516
RUS,SGP,0,8431.775
RUS,TUR,0,1796.546
RUS,USA,0,7834.547
RUS,VNM,0,6737.911
RUS,ZAF,0,9113.282
SAU,ARE,1,774.5853
SAU,AUS,0,12640.23
SAU,BEL,0,4636.352
SAU,BGD,0,4409.454
SAU,BRA,0,11201.76
SAU,CAN,0,10307.03
SAU,CHN,0,6605.185
SAU,DEU,0,4178.845
SAU,EGY,1,1645.602
SAU,ESP,0,4975.897
SAU,FRA,0,4694.5
SAU,GBR,0,4957.345
SAU,HKG,0,6813.409
SAU,IND,0,3053.153
SAU,ITA,0,3684.742
SAU,JPN,0,8701.922
SAU,KOR,0,7557.272
SAU,LKA,0,4038.69
SAU,MEX,0,13895.68
SAU,MYS,0,6347.465
SAU,NGA,0,4532.161
SAU,NLD,0,4669.672
SAU,PAK,0,2742.321
SAU,RUS,0,3539.516
SAU,SAU,0,551.9157
SAU,SGP,0,6654.987
SAU,TUR,0,2140.525
SAU,USA,0,10858.59
SAU,VNM,0,6029.935
SAU,ZAF,0,5951.747
SGP,ARE,0,5904.872
SGP,AUS,1,6217.666
SGP,BEL,0,10571.47
SGP,BGD,0,2887.813
SGP,BRA,0,16540.27
SGP,CAN,1,14835.63
SGP,CHN,1,4484.657
SGP,DEU,0,9932.874
SGP,EGY,0,8273.529
SGP,ESP,0,11400.13
SGP,FRA,0,10748.26
SGP,GBR,1,10868.94
SGP,HKG,1,2587.967
SGP,IND,1,4154.034
SGP,ITA,0,10033.4
SGP,JPN,0,5326.388
SGP,KOR,0,4676.683
SGP,LKA,0,2734.159
SGP,MEX,0,16623.59
SGP,MYS,1,315.5433
SGP,NGA,1,10727.72
SGP,NLD,0,10510.19
SGP,PAK,1,4819.488
SGP,RUS,0,8431.775
SGP,SAU,0,6654.987
SGP,SGP,0,9.559828
SGP,TUR,0,8313.423
SGP,USA,1,15564.31
SGP,VNM,0,2207.195
SGP,ZAF,1,8642.947
TUR,ARE,0,2649.283
TUR,AUS,0,14512.6
TUR,BEL,0,2514.58
TUR,BGD,0,5628.797
TUR,BRA,0,10374.6
TUR,CAN,0,8168.275
TUR,CHN,0,6841.785
TUR,DEU,0,2038.686
TUR,EGY,0,1109.213
TUR,ESP,0,3087.75
TUR,FRA,0,2600.656
TUR,GBR,0,2838.027
TUR,HKG,0,7732.957
TUR,IND,0,4222.863
TUR,ITA,0,1721.419
TUR,JPN,0,8777.496
TUR,KOR,0,7759.101
TUR,LKA,0,5942.752
TUR,MEX,0,11765.04
TUR,MYS,0,7997.892
TUR,NGA,0,4264.208
TUR,NLD,0,2536.014
TUR,PAK,0,3625.628
TUR,RUS,0,1796.546
TUR,SAU,0,2140.525
TUR,SGP,0,8313.423
TUR,TUR,0,332.3085
TUR,USA,0,8732.645
TUR,VNM,0,7116.708
TUR,ZAF,0,7323.674
USA,ARE,0,11359.12
USA,AUS,1,15961.95
USA,BEL,0,6222.864
USA,BGD,0,12946.79
USA,BRA,0,6794.436
USA,CAN,1,737.0425
USA,CHN,0,11159.25
USA,DEU,0,6717.542
USA,EGY,0,9357.814
USA,ESP,0,6092.003
USA,FRA,0,6169.154
USA,GBR,1,5901.343
USA,HKG,1,13131.11
USA,IND,1,12059.81
USA,ITA,0,7224.739
USA,JPN,0,10918.79
USA,KOR,0,11185.97
USA,LKA,0,14406.16
USA,MEX,0,3037.916
USA,MYS,0,15357.34
USA,NGA,1,8874.532
USA,NLD,0,6196.851
USA,PAK,1,11392.76
USA,RUS,0,7834.547
USA,SAU,0,10858.59
USA,SGP,1,15564.31
USA,TUR,0,8732.645
USA,USA,0,1161.074
USA,VNM,0,13362.15
USA,ZAF,1,13040.41
VNM,ARE,0,5265.521
VNM,AUS,0,7753.618
VNM,BEL,0,8989.95
VNM,BGD,0,1622.246
VNM,BRA,0,17207.4
VNM,CAN,0,12637.78
VNM,CHN,0,2330.799
VNM,DEU,0,8337.11
VNM,EGY,0,7434.833
VNM,ESP,0,10053.22
VNM,FRA,0,9208.554
VNM,GBR,0,9248.713
VNM,HKG,0,868.035
VNM,IND,0,3006.763
VNM,ITA,0,8741.851
VNM,JPN,0,3672.564
VNM,KOR,0,2740.135
VNM,LKA,0,3208.334
VNM,MEX,0,14772
VNM,MYS,0,2040.94
VNM,NGA,0,10541.2
VNM,NLD,0,8892.063
VNM,PAK,0,3509.467
VNM,RUS,0,6737.911
VNM,SAU,0,6029.935
VNM,SGP,0,2207.195
VNM,TUR,0,7116.708
VNM,USA,0,13362.15
VNM,VNM,0,216.4326
VNM,ZAF,0,9862.524
ZAF,ARE,0,6257.806
ZAF,AUS,1,10827.98
ZAF,BEL,0,8838.753
ZAF,BGD,0,8661.903
ZAF,BRA,0,7900.19
ZAF,CAN,1,13075.43
ZAF,CHN,0,11674.59
ZAF,DEU,0,8828.848
ZAF,EGY,0,6216.672
ZAF,ESP,0,8070.031
ZAF,FRA,0,8692.812
ZAF,GBR,1,9033.48
ZAF,HKG,1,10689.86
ZAF,IND,1,8000.751
ZAF,ITA,0,7697.383
ZAF,JPN,0,13517
ZAF,KOR,0,12457.03
ZAF,LKA,0,6658.517
ZAF,MEX,0,14615.26
ZAF,MYS,0,8523.575
ZAF,NGA,1,4504.671
ZAF,NLD,0,8981.913
ZAF,PAK,1,8138.689
ZAF,RUS,0,9113.282
ZAF,SAU,0,5951.747
ZAF,SGP,1,8642.947
ZAF,TUR,0,7323.674
ZAF,USA,1,13040.41
ZAF,VNM,0,9862.524
ZAF,ZAF,0,415.4302
